item,year,gsdp,state
"Trade, repair, hotels and restaurants",2014-15,2987155,Andhra_Pradesh
"Trade, repair, hotels and restaurants",2015-16,3480621,Andhra_Pradesh
Trade & repair services,2011-12,1961211,Andhra_Pradesh
Trade & repair services,2012-13,2191727,Andhra_Pradesh
Trade & repair services,2013-14,2473790,Andhra_Pradesh
Trade & repair services,2014-15,2876251,Andhra_Pradesh
Trade & repair services,2015-16,3353852,Andhra_Pradesh
Hotels & restaurants,2011-12,84465,Andhra_Pradesh
Hotels & restaurants,2012-13,92314,Andhra_Pradesh
Hotels & restaurants,2013-14,100172,Andhra_Pradesh
Hotels & restaurants,2014-15,110904,Andhra_Pradesh
Hotels & restaurants,2015-16,126769,Andhra_Pradesh
"Transport, storage, communication & services related to broadcasting",2011-12,810091,Andhra_Pradesh
"Transport, storage, communication & services related to broadcasting",2012-13,929196,Andhra_Pradesh
"Transport, storage, communication & services related to broadcasting",2013-14,1086729,Andhra_Pradesh
"Transport, storage, communication & services related to broadcasting",2014-15,1194568,Andhra_Pradesh
"Transport, storage, communication & services related to broadcasting",2015-16,1392834,Andhra_Pradesh
Railways,2011-12,158334,Andhra_Pradesh
Railways,2012-13,186316,Andhra_Pradesh
Railways,2013-14,215234,Andhra_Pradesh
Railways,2014-15,252509,Andhra_Pradesh
Railways,2015-16,294682,Andhra_Pradesh
Road transport,2011-12,356262,Andhra_Pradesh
Road transport,2012-13,422930,Andhra_Pradesh
Road transport,2013-14,474743,Andhra_Pradesh
Road transport,2014-15,507668,Andhra_Pradesh
Road transport,2015-16,579295,Andhra_Pradesh
Water transport,2011-12,43626,Andhra_Pradesh
Water transport,2012-13,47129,Andhra_Pradesh
Water transport,2013-14,25033,Andhra_Pradesh
Water transport,2014-15,4502,Andhra_Pradesh
Water transport,2015-16,5023,Andhra_Pradesh
Air transport,2011-12,0,Andhra_Pradesh
Air transport,2012-13,255,Andhra_Pradesh
Air transport,2013-14,9711,Andhra_Pradesh
Air transport,2014-15,26223,Andhra_Pradesh
Air transport,2015-16,29260,Andhra_Pradesh
Services incidental to transport,2011-12,36400,Andhra_Pradesh
Services incidental to transport,2012-13,39855,Andhra_Pradesh
Services incidental to transport,2013-14,36798,Andhra_Pradesh
Services incidental to transport,2014-15,35739,Andhra_Pradesh
Services incidental to transport,2015-16,37732,Andhra_Pradesh
Storage,2011-12,6594,Andhra_Pradesh
Storage,2012-13,7277,Andhra_Pradesh
Storage,2013-14,8377,Andhra_Pradesh
Storage,2014-15,10308,Andhra_Pradesh
Storage,2015-16,12070,Andhra_Pradesh
Communication & services related to broadcasting,2011-12,208875,Andhra_Pradesh
Communication & services related to broadcasting,2012-13,225434,Andhra_Pradesh
Communication & services related to broadcasting,2013-14,316833,Andhra_Pradesh
Communication & services related to broadcasting,2014-15,357619,Andhra_Pradesh
Communication & services related to broadcasting,2015-16,434772,Andhra_Pradesh
Financial services,2011-12,427077,Andhra_Pradesh
Financial services,2012-13,457213,Andhra_Pradesh
Financial services,2013-14,515905,Andhra_Pradesh
Financial services,2014-15,543651,Andhra_Pradesh
Financial services,2015-16,591575,Andhra_Pradesh
"Real estate, ownership of dwelling & professional services",2011-12,1112543,Andhra_Pradesh
"Real estate, ownership of dwelling & professional services",2012-13,1225917,Andhra_Pradesh
"Real estate, ownership of dwelling & professional services",2013-14,1316472,Andhra_Pradesh
"Real estate, ownership of dwelling & professional services",2014-15,1412466,Andhra_Pradesh
"Real estate, ownership of dwelling & professional services",2015-16,1534435,Andhra_Pradesh
Public administration,2011-12,821723,Andhra_Pradesh
Public administration,2012-13,929477,Andhra_Pradesh
Public administration,2013-14,982734,Andhra_Pradesh
Public administration,2014-15,1373611,Andhra_Pradesh
Public administration,2015-16,1556575,Andhra_Pradesh
Other services,2011-12,1077923,Andhra_Pradesh
Other services,2012-13,1182533,Andhra_Pradesh
Other services,2013-14,1493924,Andhra_Pradesh
Other services,2014-15,1795658,Andhra_Pradesh
Other services,2015-16,2209442,Andhra_Pradesh
"Agriculture, forestry and fishing",2011-12,6206655,Andhra_Pradesh
"Agriculture, forestry and fishing",2012-13,7669989,Andhra_Pradesh
"Agriculture, forestry and fishing",2013-14,7371939,Andhra_Pradesh
"Agriculture, forestry and fishing",2014-15,7951890,Andhra_Pradesh
"Agriculture, forestry and fishing",2015-16,8095024,Andhra_Pradesh
Crops,2011-12,4260778,Andhra_Pradesh
Crops,2012-13,5336544,Andhra_Pradesh
Crops,2013-14,4522339,Andhra_Pradesh
Crops,2014-15,4688237,Andhra_Pradesh
Crops,2015-16,4577220,Andhra_Pradesh
Livestock,2011-12,1202821,Andhra_Pradesh
Livestock,2012-13,1481102,Andhra_Pradesh
Livestock,2013-14,1831596,Andhra_Pradesh
Livestock,2014-15,2060296,Andhra_Pradesh
Livestock,2015-16,2247038,Andhra_Pradesh
Forestry and logging,2011-12,418682,Andhra_Pradesh
Forestry and logging,2012-13,457077,Andhra_Pradesh
Forestry and logging,2013-14,500976,Andhra_Pradesh
Forestry and logging,2014-15,550132,Andhra_Pradesh
Forestry and logging,2015-16,591042,Andhra_Pradesh
Fishing and aquaculture,2011-12,324374,Andhra_Pradesh
Fishing and aquaculture,2012-13,395266,Andhra_Pradesh
Fishing and aquaculture,2013-14,517028,Andhra_Pradesh
Fishing and aquaculture,2014-15,653224,Andhra_Pradesh
Fishing and aquaculture,2015-16,679725,Andhra_Pradesh
Mining and quarrying,2011-12,19858,Andhra_Pradesh
Mining and quarrying,2012-13,23429,Andhra_Pradesh
Mining and quarrying,2013-14,150804,Andhra_Pradesh
Mining and quarrying,2014-15,68107,Andhra_Pradesh
Mining and quarrying,2015-16,68549,Andhra_Pradesh
Manufacturing,2011-12,1466570,Andhra_Pradesh
Manufacturing,2012-13,1035092,Andhra_Pradesh
Manufacturing,2013-14,2120942,Andhra_Pradesh
Manufacturing,2014-15,2189965,Andhra_Pradesh
Manufacturing,2015-16,2892956,Andhra_Pradesh
"Electricity, gas, water supply & other utility services",2011-12,365887,Andhra_Pradesh
"Electricity, gas, water supply & other utility services",2012-13,442206,Andhra_Pradesh
"Electricity, gas, water supply & other utility services",2013-14,385931,Andhra_Pradesh
"Electricity, gas, water supply & other utility services",2014-15,345168,Andhra_Pradesh
"Electricity, gas, water supply & other utility services",2015-16,363130,Andhra_Pradesh
Construction,2011-12,2701685,Andhra_Pradesh
Construction,2012-13,2781005,Andhra_Pradesh
Construction,2013-14,3184760,Andhra_Pradesh
Construction,2014-15,3449763,Andhra_Pradesh
Construction,2015-16,3667664,Andhra_Pradesh
"Trade, repair, hotels and restaurants",2011-12,4390442,Andhra_Pradesh
"Trade, repair, hotels and restaurants",2012-13,5175534,Andhra_Pradesh
"Trade, repair, hotels and restaurants",2013-14,5205102,Andhra_Pradesh
"Trade, repair, hotels and restaurants",2014-15,7448373,Andhra_Pradesh
"Trade, repair, hotels and restaurants",2015-16,8789191,Andhra_Pradesh
Trade & repair services,2011-12,4110861,Andhra_Pradesh
Trade & repair services,2012-13,4867227,Andhra_Pradesh
